"#";"Name";"Part";"Quantity"
"1";"MIC5504-3.3YM5-TR";"MIC5504-3.3YM5-TR";"1"
"2";"TPS61032PWP";"TPS61032PWP";"2"
"3";"LIS2DH";"LIS2DH";"1"
"4";"Jumper";"Jumper";"8"
"5";"PAM8406DR";"PAM8406DR";"1"
"6";"VS1053B";"VS1053B";"1"
"7";"BC817-40,215";"BC817-40,215";"1"
"8";"KLS5-CR2032-02";"KLS5-CR2032-02";"1"
"9";"CMT8504100SMTTR";"CMT8504100SMTTR";"1"
"10";"CL10B104JO8NNNC";"CL10B104JO8NNNC";"38"
"11";"CL10B105KO8NNNC";"CL10B105KO8NNNC";"10"
"12";"0603YC105KAT2A";"0603YC105KAT2A";"5"
"13";"CL10A226MQ8NRNC";"CL10A226MQ8NRNC";"1"
"14";"CL10B225KP8NNNC";"CL10B225KP8NNNC";"2"
"15";"TAJD227K010RNJ";"TAJD227K010RNJ";"3"
"16";"TAJA475K016RNJ";"TAJA475K016RNJ";"4"
"17";"293D105X9016A2TE3";"293D105X9016A2TE3";"1"
"18";"CL10A475KQ8NNNC";"CL10A475KQ8NNNC";"2"
"19";"C0603X105K063NT";"C0603X105K063NT";"2"
"20";"0603B103K500CG";"0603B103K500CG";"8"
"21";"CL10A106KQ8NNNC";"CL10A106KQ8NNNC";"1"
"22";"0603N200J500NT";"0603N200J500NT";"2"
"23";"C0603N100C500NT";"C0603N100C500NT";"2"
"24";"293D106X9010B2TE3";"293D106X9010B2TE3";"3"
"25";"C0603N160J500NT";"C0603N160J500NT";"2"
"26";"C0603B473K500NT";"C0603B473K500NT";"1"
"27";"C0603N221J500NT";"C0603N221J500NT";"4"
"28";"MMSD4148";"MMSD4148";"2"
"29";"ESD5Z3.3T1G";"ESD5Z3.3T1G";"3"
"30";"USBLC6-2SC6Y";"USBLC6-2SC6Y";"1"
"31";"MIC5504-1.8YM5-TR";"MIC5504-1.8YM5-TR";"1"
"32";"SC189ZSKTRT";"SC189ZSKTRT";"1"
"33";"SH12500-4Y";"SH12500-5Y";"2"
"34";"SH12500-7Y";"SH12500-7Y";"2"
"35";"DMG2302UK-7";"DMG2302UK-7";"2"
"36";"SH12500-5Y";"SH12500-5Y";"8"
"37";"MT28EW128ABA1HJS";"MT28EW128ABA1HJS";"1"
"38";"L3GD20H";"L3GD20H";"1"
"39";"SH12500-10Y";"SH12500-10Y";"1"
"40";"TCA8418RTWR";"TCA8418RTWR";"1"
"41";"SH12500-6Y";"SH12500-6Y";"1"
"42";"MRX569-02";"MRX569-02";"2"
"43";"NFZ2MSD600SN10L";"NFZ2MSD600SN10L";"4"
"44";"ASPI-3012S-1R0M-T";"ASPI-3012S-1R0M-T";"1"
"45";"CDRH124NP-6R8MC";"CDRH124NP-6R8MC";"2"
"46";"MLP2016H4R7MT0S1";"MLP2016H4R7MT0S1";"1"
"47";"FBMH1608HM151-T";"FBMH1608HM151-T";"4"
"48";"TP4056";"TP4056";"1"
"49";"DW01A-G";"DW01A-G";"1"
"50";"AO4838";"AO4838";"1"
"51";"STM32L552xxxxQ";"System";"1"
"52";"SH12500-2Y";"SH12500-2Y";"4"
"53";"RC0603FR-100R";"RC0603FR-100R";"1"
"54";"RC0603FR-1KR";"RC0603FR-1KR";"3"
"55";"RC0603FR-071K2";"RC0603FR-071K2";"1"
"56";"RC0603FR-10KR";"RC0603FR-10KR";"10"
"57";"RC0603FR-3K65";"RC0603FR-3K65";"1"
"58";"RC0603FR-1MR";"RC0603FR-1MR";"1"
"59";"RC0603FR-100KR";"RC0603FR-100KR";"10"
"60";"RC0603FR-10R";"RC0603FR-10R";"1"
"61";"RC0603JR-20R";"RC0603JR-20R";"2"
"62";"RC0603JR-07300R";"RC0603JR-07300R";"2"
"63";"REF3433IDBVR";"REF3433IDBVR";"1"
"64";"KX-K";"KX-K";"2"
"65";"STF38-32.768K-12.5-20";"STF38-32.768K-12.5-20";"1"
